query,true_sentiment,predicted_sentiment,confidence,precision@10,failure_type,is_mixed_tone
"Tony Hawk's Pro Skater 2x, isn't much different at all from the previous games (excluding Tony Hawk ",pos,negative,0.9973992109298706,0.0,sentiment_misclassification,False
Not a box office success; no-one really knows why. It may have failed simply because of its title. I,pos,negative,0.9336684942245483,0.0,mixed_tone_misclassification,True
"Eleven years ago, Stanley Ipkiss released his true inner self and became the hero of Edge City by fi",neg,positive,0.999092698097229,0.0,sentiment_misclassification,False
"Why did I buy this movie on DVD?, Well the short answer would be: I really don't know. As for the lo",neg,positive,0.9817713499069214,0.0,mixed_tone_misclassification,True
Two sailors are on leave--ladies man Joseph Brady (Gene Kelly) and shy innocent Clarence Doolittle (,pos,negative,0.9972251653671265,0.0,sentiment_misclassification,False
"Some years ago, satellite channel U.K. Gold promoted repeats of 'Men Behaving Badly' with the hype: ",pos,negative,0.9992063641548157,0.0,mixed_tone_misclassification,True
"As I have said before in previous comments, some programmes are there to be 'Light entertainment'. S",pos,negative,0.687961995601654,0.0,sentiment_misclassification,False
"Intense, funny, witty, and more than anything, social comedy on the ways of adult dating and it's re",pos,negative,0.9705324769020081,0.0,mixed_tone_misclassification,True
Otto Preminger directs this light as a feather story. Bohemian Jean Seberg and her equally bohemian ,neg,positive,0.9990597367286682,0.0,sentiment_misclassification,False
The reviewer who called this movie a bust has clearly missed the point. It's obvious he hasn't been ,pos,negative,0.9993627667427063,0.0,mixed_tone_misclassification,True
Milla stands out in this movie because of her personal sense of style and the way the clothes hang o,neg,positive,0.9965983033180237,0.0,sentiment_misclassification,False
"As I mentioned in other comments, I became a real big fan of David Bradley ever since I saw him in """,neg,positive,0.9972836971282959,0.0,mixed_tone_misclassification,True
The first time you see The Second Renaissance it may look boring. Look at it at least twice and defi,pos,negative,0.9271132946014404,0.0,sentiment_misclassification,False
It seems a shame that Greta Garbo ended her illustrious career at the age of 36 with this ridiculous,neg,positive,0.9546647667884827,0.0,sentiment_misclassification,False
I have read and enjoyed many of James Lee Burke's Robicheaux mysteries. When I read 'In The Electric,neg,positive,0.819849967956543,0.0,sentiment_misclassification,False
"The Dekalog 5 may be considered a violent accusation against the death sentence, according to the fi",pos,negative,0.9402949213981628,0.0,sentiment_misclassification,False
"I never was an avid viewer of ""Crocodile Hunter"", but did occasionally see an episode, or a bit of a",neg,positive,0.9867554306983948,0.0,sentiment_misclassification,False
"Whoever likened this one to RAIDERS OF THE LOST ARK certainly knew whereof he spoke. He might, as we",neg,positive,0.9904888868331909,0.0,sentiment_misclassification,False
"As soon as I knew Keira Knighteley being in this flick, I said ""I have to watch this movie"". She's t",pos,negative,0.9755125641822815,0.0,sentiment_misclassification,False
"The movie is not that bad, Ringo Lam sucks. I hate when Van Damme has love in his movies, van Damme ",neg,positive,0.9962098598480225,0.0,mixed_tone_misclassification,True
"The first half of the film is OK, the second half one of the most tedious experiences imaginable. Qu",neg,positive,0.9969280362129211,0.0,sentiment_misclassification,False
"If you are going to make a movie from any book, be sure that the characters are consistant with that",neg,positive,0.9910020232200623,0.0,sentiment_misclassification,False
I have seen this movie a number of times and find it very compelling and sad. The lack of real emoti,pos,negative,0.9515212774276733,0.0,sentiment_misclassification,False
"According to Milan Kundera, a porcelain-cat holding a red rose is denying the crap. Well, those crim",neg,positive,0.9743515849113464,0.0,sentiment_misclassification,False
For those of us that lived thru those weeks of filming in town and around the Valley - lest we not f,neg,positive,0.9940308928489685,0.0,sentiment_misclassification,False
I'm a bit spooked by some of these reviews praising A.K.A. Not only do they sound as if they were wr,neg,positive,0.9429658055305481,0.0,mixed_tone_misclassification,True
Orson Welles manages to knock me on my ass with every picture of his I see. Lady of Shanghai is on t,pos,negative,0.9817636609077454,0.0,mixed_tone_misclassification,True
"In the old commercial for blank audio cassettes, the tag line was ""is it real or is it Memorex?"" The",pos,negative,0.9989585876464844,0.0,sentiment_misclassification,False
"At the beginning of this film, which I found myself watching on IFC in the wee hours of the morning,",pos,negative,0.9563988447189331,0.0,sentiment_misclassification,False
"Slausen's Lost Oasis. . . a place for food, fun. . . and MURDER! After a guy disappears on his way t",pos,negative,0.9938033819198608,0.0,mixed_tone_misclassification,True
"It's probably a year since I saw Uzak, but it has left strong memories of the two main characters, j",pos,negative,0.9764940142631531,0.0,sentiment_misclassification,False
"""The Merchant of Venice"" was one of Shakespeare's most popular plays during his own lifetime, but it",pos,negative,0.9886725544929504,0.0,sentiment_misclassification,False
"I rented this some years ago, the video store had only VHS at the time. Straight to video was hittin",pos,negative,0.9994753003120422,0.0,sentiment_misclassification,False
"At the beginning of the movie, the beautiful photography and the scenes of the fox were amazing. How",neg,positive,0.9898852109909058,0.0,mixed_tone_misclassification,True
